epoch train_mse val_mse train_loss
0 0.029470855370163918 0.06050989404320717 0.70220906
1 0.02415466122329235 0.03679375350475311 0.600648
2 0.02034042775630951 0.06381741911172867 0.5194479
3 0.018430842086672783 0.05721403285861015 0.47653586
4 0.018548516556620598 0.06905519962310791 0.46768668
5 0.0191746074706316 0.0818452388048172 0.46002892
6 0.017279326915740967 0.0832572877407074 0.44167536
7 0.01688019558787346 0.060838889330625534 0.43190408
8 0.016920017078518867 0.08625049144029617 0.42956817
9 0.01650615967810154 0.0581238828599453 0.4247175
10 0.016681000590324402 0.07835198193788528 0.41529188
11 0.016392556950449944 0.06101386249065399 0.41225678
12 0.015976043418049812 0.06164945662021637 0.40833807
13 0.015679484233260155 0.06093108281493187 0.40171078
14 0.016226502135396004 0.06973901391029358 0.3987817
15 0.015448390506207943 0.06392539292573929 0.3920222
16 0.014753549359738827 0.06383813172578812 0.3850805
17 0.015155601315200329 0.077195905148983 0.39479262
18 0.015076547861099243 0.08034806698560715 0.38584048
19 0.015106969512999058 0.10048621892929077 0.38238582
20 0.01484066154807806 0.0638115257024765 0.3794891
21 0.014423026703298092 0.06616858392953873 0.37740007
22 0.01649339683353901 0.07911961525678635 0.39638996
23 0.015572561882436275 0.07836978882551193 0.38245368
24 0.014313816092908382 0.06286758929491043 0.37309563
25 0.014636337757110596 0.07555734366178513 0.3738319
26 0.014213517308235168 0.06704504042863846 0.36436892
27 0.014271142892539501 0.07373768091201782 0.37235072
28 0.01481943391263485 0.06969978660345078 0.37513143
29 0.014123650267720222 0.03552805259823799 0.3723355
30 0.014021186158061028 0.07757464796304703 0.36477485
31 0.014561494812369347 0.08447837084531784 0.37013105
32 0.015767667442560196 0.08024222403764725 0.38826948
33 0.015545304864645004 0.021159132942557335 0.3971155
34 0.015291444025933743 0.0663471594452858 0.38024762
35 0.014589968137443066 0.08087091892957687 0.37003696
36 0.014765600673854351 0.08379699289798737 0.36392835
37 0.01465128269046545 0.08613128215074539 0.36391142
38 0.014669060707092285 0.08194004744291306 0.37450123
39 0.01401781477034092 0.01428897213190794 0.3664375
40 0.0138202840462327 0.06319978833198547 0.3580952
41 0.013879403471946716 0.015917787328362465 0.35901228
42 0.01381375640630722 0.06828751415014267 0.35481817
43 0.013781270012259483 0.011068451218307018 0.3563361
44 0.013661760836839676 0.0748782530426979 0.35206085
45 0.014708906412124634 0.08092210441827774 0.37663716
46 0.014235559850931168 0.06909020245075226 0.36127117
47 0.013555226847529411 0.01982455886900425 0.35087967
48 0.013119795359671116 0.07105062156915665 0.34491253
49 0.013076837174594402 0.06341370940208435 0.3434452
50 0.012869564816355705 0.012559197843074799 0.3451834
51 0.013379833661019802 0.08322333544492722 0.34811115
52 0.013437923975288868 0.011596377938985825 0.3523203
53 0.01285602431744337 0.01656397245824337 0.33971676
54 0.012859223410487175 0.016040973365306854 0.3361777
55 0.012323664501309395 0.011939038522541523 0.33117667
56 0.01248887274414301 0.029283704236149788 0.33294052
57 0.012145406566560268 0.054526686668395996 0.32768995
58 0.01216516736894846 0.08516185730695724 0.32775763
59 0.012263939715921879 0.07952365279197693 0.33100405
60 0.012078503146767616 0.08560837060213089 0.32540482
61 0.012300247326493263 0.06026311591267586 0.32977894
62 0.012098267674446106 0.08461567759513855 0.32732707
63 0.011992222629487514 0.09074606001377106 0.32456926
64 0.01201646588742733 0.09050797671079636 0.32345593
65 0.011880521662533283 0.07412233203649521 0.3219635
66 0.012042962945997715 0.09352757781744003 0.3251063
67 0.012564273551106453 0.0962645411491394 0.3282907
68 0.012760435231029987 0.08714891970157623 0.33005598
69 0.01233703549951315 0.1012449562549591 0.32493195
70 0.012759070843458176 0.0926419124007225 0.33151016
